***
Bank-Id's and SSN's should be sent as integers. Don't send strings with
padding or dashes.
***

Name               	Bank-Id 	SSN

Team 0
Liam Guadalupe     	00000000	170-48-3472
London Perrin      	00000001	955-96-1866
José De Zavala    	00000002	558-99-4585
Aria Hernandez     	00000003	878-38-7350
Shane Butt         	00000004	993-27-9341
Daniel Guadalupe   	00000005	377-65-5658
Garnet Beitel      	00000006	807-87-1269
Abigail Lee        	00000007	255-58-6479
Emily Hernandez    	00000008	442-96-4430
Alexis Gonzalez    	00000009	307-96-6663

Team 1
Kelsie Perrin      	00000010	716-61-3537
Cory Lee           	00000011	101-52-3934
Sandy Wurzbach     	00000012	194-30-9555
Shane Lee          	00000013	854-80-6250
Michael Butt       	00000014	291-95-7302
Levi Perrin        	00000015	451-29-9974
Isabella Butt      	00000016	639-22-4828
Jasmine Hernandez  	00000017	711-13-3271
Shane Beitel       	00000018	963-52-3048
Kevin Wurzbach     	00000019	349-40-4711

Team 2
Kelsie Wurzbach    	00000020	407-21-7073
Shane Shelby       	00000021	160-37-4800
Edward De Zavala   	00000022	866-81-7522
José Lee          	00000023	874-94-1729
Garnet De Zavala   	00000024	967-38-2619
Jasmine Shelby     	00000025	475-27-7631
Emma Perrin        	00000026	716-92-5833
Marie De Zavala    	00000027	374-59-3423
José Guadalupe    	00000028	126-59-9540
Kelsie Guadalupe   	00000029	380-42-2868

Team 3
Sebastian Guadalupe	00000030	432-49-6887
Kassidy Wurzbach   	00000031	910-80-8848
Francis Shelby     	00000032	741-74-4741
Edward Shelby      	00000033	994-77-1761
Thomas Hernandez   	00000034	558-48-7602
Michael De Zavala  	00000035	817-33-5965
Alexis Lee         	00000036	273-13-8490
Francis Butt       	00000037	683-69-5017
Michael Guadalupe  	00000038	787-86-3591
Shane Wurzbach     	00000039	314-55-5807

Team 4
Aldus Beitel       	00000040	372-68-1261
Taylor De Zavala   	00000041	130-67-8209
Mia Beitel         	00000042	450-33-5767
Addison Wurzbach   	00000043	985-52-9573
Kelsie Hernandez   	00000044	172-52-2626
Mia Shelby         	00000045	849-41-9983
Sandy Shelby       	00000046	664-69-7809
Alexis Shelby      	00000047	978-47-2826
Mia Guadalupe      	00000048	166-64-9482
Mia Gonzalez       	00000049	291-23-4646

Team 5
Cory De Zavala     	00000050	570-45-5442
Shane Hernandez    	00000051	559-89-8453
Abigail Shelby     	00000052	648-99-8251
Emily Guadalupe    	00000053	778-48-3158
Taylor Beitel      	00000054	557-99-1734
Francis Gonzalez   	00000055	317-85-5441
Francis Beitel     	00000056	800-17-8857
Michael Beitel     	00000057	344-17-5603
Garnet Perrin      	00000058	240-79-5610
Olivia Wurzbach    	00000059	451-90-7378
